epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8619,1.6247,4.21628,1.43483,0,0,0,0,1.48207,4.75724,1.38778,5.001e-05,5.001e-05,5.001e-05
2,45.7062,1.33993,4.24401,1.24379,0.00152,0.32143,0.01154,0.00902,1.34714,4.46393,1.2361,0.00011438,0.00011438,0.00011438
3,68.6074,1.20061,3.34294,1.09546,0.00401,0.82857,0.49099,0.26655,1.35377,4.11503,1.13095,0.000176109,0.000176109,0.000176109
4,91.5741,1.31375,2.91533,1.14251,0.00413,0.87857,0.50818,0.3007,1.17118,3.88963,1.0001,0.000235197,0.000235197,0.000235197
5,114.523,1.21562,2.39476,1.10416,0.00443,0.95,0.5455,0.3389,1.1838,3.83434,1.01785,0.000291645,0.000291645,0.000291645
6,137.536,1.16368,2.21685,1.06419,0.00357,0.75714,0.39003,0.24627,1.19779,3.91762,1.03616,0.000345452,0.000345452,0.000345452
7,160.643,1.20768,1.98044,1.05661,0.00194,0.41429,0.14792,0.10584,1.17965,4.25176,1.21212,0.000396619,0.000396619,0.000396619
8,183.548,1.0872,1.78452,1.05958,0.00306,0.65714,0.18543,0.11255,1.22223,4.25462,1.22657,0.000445146,0.000445146,0.000445146
9,206.571,1.07228,1.59371,1.02719,0.00388,0.82857,0.17348,0.10613,1.19017,4.25755,1.20195,0.000491032,0.000491032,0.000491032
10,229.621,1.08366,1.64161,1.03573,0.00303,0.63571,0.08247,0.04619,1.26342,4.3478,1.27875,0.000534277,0.000534277,0.000534277
11,252.534,1.08461,1.42084,1.08179,0.00333,0.70714,0.07599,0.05994,1.24971,4.27646,1.23959,0.000574882,0.000574882,0.000574882
12,275.634,1.06947,1.42854,1.05865,0.00305,0.65714,0.09736,0.05571,1.36595,4.2376,1.29023,0.000612846,0.000612846,0.000612846
13,299.461,1.06703,1.37357,1.04609,0.00249,0.51429,0.17175,0.10573,1.27243,4.16588,1.22601,0.00064817,0.00064817,0.00064817
14,322.602,1.03454,1.34602,1.02792,0.00195,0.39286,0.18871,0.12433,1.25198,3.99417,1.18853,0.000680853,0.000680853,0.000680853
15,345.65,0.98583,1.29856,1.00821,0.00305,0.63571,0.30219,0.20426,1.30444,3.79852,1.21811,0.000710895,0.000710895,0.000710895
16,368.566,0.96808,1.29893,1.03398,0.00304,0.63571,0.3341,0.22948,1.33629,3.70068,1.20064,0.000738298,0.000738298,0.000738298
17,391.403,0.94117,1.26086,0.98537,0.9491,0.19672,0.5539,0.34023,1.31558,3.34483,1.17633,0.000763059,0.000763059,0.000763059
18,414.099,0.98914,1.26288,1.02884,0.84191,0.21429,0.6422,0.36173,1.3781,3.30276,1.15775,0.00078518,0.00078518,0.00078518
19,436.841,0.89491,1.18322,0.99506,0.77045,0.17207,0.52362,0.27478,1.56388,3.49382,1.2572,0.000804661,0.000804661,0.000804661
20,459.535,0.99071,1.15067,1.02637,0.86169,0.40836,0.58195,0.37515,1.29295,3.20796,1.15766,0.000821501,0.000821501,0.000821501
21,482.39,0.98565,1.13469,1.00707,0.84211,0.40911,0.52446,0.33223,1.23265,3.21077,1.12703,0.0008357,0.0008357,0.0008357
22,505.049,0.91273,1.12024,0.99259,0.82833,0.33487,0.53698,0.32721,1.38934,3.24844,1.22235,0.000847259,0.000847259,0.000847259
23,527.68,0.88032,1.07054,1.0017,0.8136,0.42866,0.5731,0.37195,1.34726,3.1597,1.21072,0.000856178,0.000856178,0.000856178
