epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.21017,2.21967,3.76707,1.90109,0.00898,0.83333,0.38455,0.23644,1.48057,3.11558,1.77796,0,0,0
2,8.1378,1.96617,3.5985,1.85504,0.00897,0.83333,0.44043,0.25272,1.46808,3.10656,1.76425,1.63399e-05,1.63399e-05,1.63399e-05
3,12.1053,2.0721,3.59303,1.89617,0.00898,0.83333,0.48914,0.30672,1.44898,3.10871,1.74505,3.20197e-05,3.20197e-05,3.20197e-05
4,16.0222,1.90198,3.55999,1.9313,0.00898,0.83333,0.51682,0.30984,1.40836,3.10937,1.70431,4.70394e-05,4.70394e-05,4.70394e-05
5,19.9278,2.01027,3.5158,1.87858,0.00897,0.83333,0.5352,0.33423,1.32525,3.09623,1.64341,6.13989e-05,6.13989e-05,6.13989e-05
6,23.8222,1.84813,3.58562,1.79097,0.00896,0.83333,0.5857,0.3695,1.21842,3.10735,1.58618,7.50984e-05,7.50984e-05,7.50984e-05
7,27.7271,1.62776,3.34656,1.62059,0.01021,0.91667,0.59798,0.3742,1.17464,3.09215,1.55626,8.81376e-05,8.81376e-05,8.81376e-05
8,31.6105,1.57038,3.38333,1.55527,0.00899,0.83333,0.56261,0.36074,1.11556,3.07967,1.52899,0.000100517,0.000100517,0.000100517
9,35.5129,1.52696,3.3214,1.52976,0.01154,1,0.57287,0.36067,1.07588,3.05734,1.50185,0.000112236,0.000112236,0.000112236
10,39.4059,1.44714,3.18196,1.46761,0.01028,0.91667,0.50179,0.3308,1.11052,3.05393,1.48339,0.000123295,0.000123295,0.000123295
11,43.3222,1.53966,3.05522,1.47271,0.01166,1,0.6025,0.33935,1.1114,3.04631,1.47892,0.000133693,0.000133693,0.000133693
12,47.2081,1.59013,2.87607,1.48171,0.01171,1,0.52967,0.2897,1.11806,3.03247,1.45729,0.000143432,0.000143432,0.000143432
13,51.0814,1.48922,2.83347,1.34678,0.01169,1,0.56724,0.29291,1.15017,3.00386,1.44229,0.00015251,0.00015251,0.00015251
14,54.9831,1.437,2.62459,1.34109,0.01174,1,0.55393,0.26952,1.15622,2.941,1.41571,0.000160929,0.000160929,0.000160929
15,58.8487,1.46422,2.39909,1.36079,0.01175,1,0.55253,0.28466,1.13329,2.9105,1.37723,0.000168687,0.000168687,0.000168687
16,62.7392,1.46289,2.3733,1.40303,0.01181,1,0.6205,0.31588,1.18476,2.88157,1.37248,0.000175785,0.000175785,0.000175785
17,66.6151,1.51708,2.39892,1.40588,0.01184,1,0.62764,0.34318,1.22175,2.83052,1.3645,0.000182223,0.000182223,0.000182223
18,70.5158,1.38371,2.11281,1.2969,0.01171,1,0.6415,0.35421,1.26175,2.789,1.38121,0.000188001,0.000188001,0.000188001
19,74.4082,1.45455,2.02597,1.34586,0.01171,1,0.66361,0.41247,1.24262,2.73881,1.37101,0.000193119,0.000193119,0.000193119
20,78.3232,1.3495,2.03587,1.21519,0.01174,1,0.68237,0.41633,1.24191,2.70198,1.37003,0.000197576,0.000197576,0.000197576
21,82.2167,1.43405,1.84319,1.32867,0.01169,1,0.74829,0.47398,1.21375,2.67815,1.35772,0.000201374,0.000201374,0.000201374
22,86.1351,1.43479,1.77286,1.28373,0.01168,1,0.67668,0.37845,1.18068,2.71389,1.33088,0.000204511,0.000204511,0.000204511
23,90.0544,1.14654,1.71193,1.14318,0.01166,1,0.66068,0.35057,1.20013,2.75027,1.32077,0.000206988,0.000206988,0.000206988
24,93.9871,1.29499,1.79843,1.25375,0.01156,1,0.66068,0.32211,1.27396,2.76141,1.33213,0.000208805,0.000208805,0.000208805
25,97.9567,1.23594,1.55413,1.27402,0.01158,1,0.70024,0.35484,1.2945,2.76183,1.31345,0.000209962,0.000209962,0.000209962
26,101.917,1.19783,1.69749,1.16207,0.01154,1,0.72167,0.39485,1.22178,2.75396,1.27348,0.000210459,0.000210459,0.000210459
27,105.834,1.14672,1.48359,1.16919,0.01166,1,0.74831,0.44155,1.37091,2.76047,1.3635,0.000210295,0.000210295,0.000210295
28,109.803,1.07053,1.53548,1.11591,0.01339,1,0.70894,0.39951,1.42538,2.75096,1.41493,0.000209472,0.000209472,0.000209472
29,113.746,1.16805,1.49029,1.196,0.46542,0.91667,0.69734,0.37066,1.56902,2.74439,1.5233,0.000207988,0.000207988,0.000207988
30,117.649,1.18967,1.59306,1.24703,0.59356,0.85354,0.66928,0.36424,1.64633,2.71701,1.58933,0.000205844,0.000205844,0.000205844
31,121.542,1.0045,1.62347,1.14142,0.46044,0.91667,0.68111,0.37523,1.63959,2.68653,1.56513,0.000203041,0.000203041,0.000203041
32,125.44,1.22123,1.60669,1.21504,0.01158,1,0.72278,0.3865,1.59985,2.64042,1.53555,0.000199577,0.000199577,0.000199577
33,129.366,0.95953,1.37217,1.12161,0.01153,1,0.746,0.41414,1.56028,2.61312,1.47015,0.000195452,0.000195452,0.000195452
34,133.278,1.10364,1.39196,1.20866,0.56524,0.9866,0.779,0.45192,1.49239,2.56524,1.41909,0.000190668,0.000190668,0.000190668
35,137.204,1.00279,1.41657,1.12799,1,0.15714,0.825,0.50015,1.38578,2.55512,1.36054,0.000185224,0.000185224,0.000185224
36,141.096,1.07797,1.40136,1.15663,1,0.14578,0.87779,0.521,1.36307,2.53735,1.34623,0.000179119,0.000179119,0.000179119
37,145.032,1.05437,1.15183,1.12362,1,0.15471,0.9053,0.53568,1.34816,2.53158,1.34252,0.000172354,0.000172354,0.000172354
38,148.944,1.16147,1.36047,1.19531,1,0.15717,0.90967,0.53742,1.35294,2.53369,1.34167,0.00016493,0.00016493,0.00016493
39,152.86,0.97488,1.27272,1.07137,1,0.15946,0.90967,0.52837,1.35631,2.52694,1.33492,0.000156845,0.000156845,0.000156845
40,156.761,1.10454,1.41981,1.18805,1,0.16161,0.94,0.5452,1.34764,2.51938,1.32392,0.0001481,0.0001481,0.0001481
41,160.69,0.91666,1.25656,1.09566,1,0.15789,0.94,0.5592,1.31858,2.5189,1.31565,0.000138694,0.000138694,0.000138694
42,164.639,0.94464,1.24951,1.04293,1,0.15428,0.94667,0.59846,1.26938,2.51326,1.30521,0.000128629,0.000128629,0.000128629
43,168.553,0.97128,1.24661,1.06853,1,0.15214,0.94786,0.61162,1.24293,2.49466,1.32002,0.000117904,0.000117904,0.000117904
44,172.439,0.91134,1.26687,1.06928,1,0.1591,0.94786,0.64166,1.2399,2.47402,1.3253,0.000106518,0.000106518,0.000106518
45,176.325,0.86578,1.19663,1.00561,0.83434,0.16869,0.94786,0.64583,1.22994,2.44887,1.3095,9.44722e-05,9.44722e-05,9.44722e-05
46,180.198,0.89938,1.19892,1.07575,0.84798,0.19596,0.94786,0.64411,1.22053,2.42295,1.28753,8.17663e-05,8.17663e-05,8.17663e-05
47,184.086,0.89451,1.29785,1.0665,0.85352,0.34251,0.94786,0.64411,1.21213,2.3922,1.27817,6.84003e-05,6.84003e-05,6.84003e-05
48,188.02,0.8506,1.1835,1.01616,0.85783,0.37185,0.94786,0.66038,1.20184,2.36616,1.27195,5.43742e-05,5.43742e-05,5.43742e-05
49,191.915,0.77714,1.04532,0.99715,0.86349,0.40096,0.94786,0.66039,1.19704,2.34127,1.26679,3.96879e-05,3.96879e-05,3.96879e-05
50,195.82,0.79901,1.13091,0.96714,0.86827,0.42552,0.94786,0.66038,1.19237,2.32099,1.26484,2.43415e-05,2.43415e-05,2.43415e-05
