epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.128,1.9778,3.51291,1.60858,0.02741,0.47857,0.20645,0.11214,1.43437,3.44111,1.20559,0.00025722,0.00025722,0.00025722
2,269.825,1.46066,1.76201,1.17728,0.94778,0.08071,0.21074,0.14035,1.29871,3.12834,1.09023,0.000518261,0.000518261,0.000518261
3,403.177,1.38162,1.46709,1.12145,0.93769,0.05826,0.24261,0.15513,1.27671,2.88698,1.06449,0.00076855,0.00076855,0.00076855
4,538.063,1.33013,1.28732,1.10734,0.75487,0.27638,0.3496,0.22308,1.35944,2.37527,1.12815,0.00100809,0.00100809,0.00100809
5,672.961,1.32851,1.18654,1.0937,0.53968,0.31308,0.34914,0.23096,1.28336,2.00969,1.14416,0.00123687,0.00123687,0.00123687
6,805.607,1.34669,1.19209,1.10591,0.5696,0.46114,0.48662,0.29431,1.36331,1.70768,1.16751,0.00128753,0.00128753,0.00128753
7,940.049,1.33812,1.1639,1.09814,0.59631,0.60496,0.63341,0.39492,1.2762,1.13808,1.10748,0.00125923,0.00125923,0.00125923
8,1074.7,1.28443,1.09848,1.09309,0.6727,0.55492,0.57342,0.37228,1.27412,1.21001,1.10977,0.00123094,0.00123094,0.00123094
9,1207.4,1.28528,1.05128,1.08647,0.86264,0.46113,0.55265,0.36573,1.23049,1.04198,1.0861,0.00120265,0.00120265,0.00120265
10,1342.57,1.23368,0.97128,1.0743,0.70387,0.58072,0.64834,0.40935,1.25936,1.13618,1.13658,0.00117435,0.00117435,0.00117435
11,1475.33,1.23083,0.96406,1.07488,0.77028,0.59423,0.64066,0.40837,1.29318,1.03093,1.09209,0.00114606,0.00114606,0.00114606
12,1608.26,1.2342,0.94826,1.08106,0.67768,0.48566,0.5585,0.37184,1.24214,0.96904,1.08864,0.00111776,0.00111776,0.00111776
13,1878.55,1.24636,0.93301,1.07439,0.70601,0.6586,0.63952,0.40709,1.20739,0.89379,1.08891,0.00108947,0.00108947,0.00108947
14,2010.75,1.2221,0.86095,1.06752,0.68168,0.60063,0.63022,0.41453,1.21554,0.86421,1.07379,0.00106118,0.00106118,0.00106118
15,2143.43,1.20521,0.84538,1.04804,0.69668,0.62287,0.66022,0.41906,1.2859,0.8472,1.0863,0.00103288,0.00103288,0.00103288
16,2276.43,1.19803,0.82091,1.04543,0.87409,0.59546,0.71004,0.48188,1.20226,0.80591,1.06804,0.00100459,0.00100459,0.00100459
17,2409.64,1.22619,0.82509,1.05051,0.81506,0.6043,0.70277,0.46701,1.17516,0.77155,1.0644,0.000976293,0.000976293,0.000976293
18,2542.78,1.18931,0.7951,1.04683,0.77531,0.65586,0.7216,0.47982,1.22354,0.75177,1.06055,0.000947999,0.000947999,0.000947999
19,2675.37,1.1621,0.78973,1.04336,0.77163,0.74241,0.77768,0.5258,1.16529,0.72844,1.05439,0.000919704,0.000919704,0.000919704
20,2808.71,1.18029,0.77134,1.033,0.77021,0.58448,0.66669,0.4509,1.20789,0.73759,1.07381,0.00089141,0.00089141,0.00089141
21,2941.64,1.1975,0.79285,1.04825,0.84036,0.67046,0.76496,0.52709,1.19235,0.70294,1.07105,0.000863116,0.000863116,0.000863116
22,3074.96,1.16846,0.73489,1.01648,0.84114,0.62674,0.71459,0.49531,1.1734,0.72991,1.06753,0.000834822,0.000834822,0.000834822
23,3207.58,1.13908,0.71593,1.02883,0.87998,0.61436,0.74615,0.50707,1.15993,0.70037,1.06147,0.000806528,0.000806528,0.000806528
24,3340.57,1.10197,0.70091,1.02328,0.85968,0.65584,0.73001,0.49389,1.16569,0.67454,1.05458,0.000778233,0.000778233,0.000778233
25,3473.65,1.11595,0.70373,1.00801,0.77866,0.63986,0.70763,0.48197,1.19927,0.75338,1.06385,0.000749939,0.000749939,0.000749939
26,3606.6,1.12219,0.72423,1.02612,0.83985,0.61633,0.72715,0.49203,1.21249,0.71532,1.06635,0.000721645,0.000721645,0.000721645
27,3738.71,1.11425,0.69025,1.02285,0.84096,0.70962,0.7777,0.51889,1.21774,0.67289,1.06873,0.000693351,0.000693351,0.000693351
28,3871.38,1.1357,0.70682,1.00566,0.85707,0.73142,0.79102,0.50583,1.22551,0.72398,1.1021,0.000665057,0.000665057,0.000665057
29,4004.23,1.13463,0.68986,1.01497,0.92585,0.70927,0.81232,0.56251,1.18299,0.68914,1.06542,0.000636762,0.000636762,0.000636762
30,4137,1.12061,0.66574,1.01769,0.82839,0.75792,0.80172,0.5441,1.23286,0.64164,1.06589,0.000608468,0.000608468,0.000608468
31,4270.42,1.13667,0.67874,1.01129,0.81886,0.64481,0.75815,0.52096,1.24331,0.68768,1.06382,0.000580174,0.000580174,0.000580174
32,4403.05,1.09038,0.64871,1.00591,0.92234,0.71452,0.79317,0.53312,1.2232,0.65498,1.06027,0.00055188,0.00055188,0.00055188
33,4537.74,1.12792,0.65667,1.00177,0.92219,0.72487,0.80692,0.54773,1.19741,0.63971,1.06287,0.000523586,0.000523586,0.000523586
34,4669.13,1.05189,0.62871,0.9941,0.8339,0.75598,0.80596,0.55263,1.20017,0.62805,1.05298,0.000495291,0.000495291,0.000495291
35,4801.37,1.04538,0.62389,0.99618,0.89965,0.70846,0.80507,0.54242,1.14302,0.6258,1.05518,0.000466997,0.000466997,0.000466997
36,4933.56,1.08187,0.64096,1.00561,0.79547,0.7349,0.78789,0.52858,1.16195,0.63507,1.05426,0.000438703,0.000438703,0.000438703
37,5068.48,1.04419,0.60421,0.98002,0.86696,0.76456,0.8295,0.55821,1.12195,0.60377,1.03327,0.000410409,0.000410409,0.000410409
38,5204.01,1.06402,0.60742,0.98365,0.92005,0.78981,0.83657,0.55775,1.15706,0.5976,1.04322,0.000382115,0.000382115,0.000382115
39,5340.44,1.03237,0.60515,0.98293,0.95927,0.72298,0.83217,0.57086,1.14907,0.61414,1.04578,0.00035382,0.00035382,0.00035382
40,5893.5,1.01134,0.58198,0.98554,0.93013,0.73156,0.81849,0.55128,1.16471,0.59059,1.04263,0.000325526,0.000325526,0.000325526
41,6025.57,1.00231,0.55544,0.96209,0.92182,0.74812,0.82552,0.56824,1.14977,0.60628,1.03656,0.000297232,0.000297232,0.000297232
42,6156.39,0.98783,0.54498,0.9532,0.88076,0.76397,0.82296,0.55265,1.15395,0.58329,1.05156,0.000268938,0.000268938,0.000268938
43,6298.14,0.97942,0.541,0.96284,0.89835,0.73715,0.8246,0.56113,1.15837,0.5903,1.04472,0.000240644,0.000240644,0.000240644
44,6430.16,0.98733,0.53029,0.9718,0.93747,0.7547,0.833,0.56996,1.15488,0.57645,1.03591,0.000212349,0.000212349,0.000212349
45,7126.27,0.96629,0.51004,0.95002,0.9478,0.76258,0.83615,0.56195,1.16466,0.57613,1.04355,0.000184055,0.000184055,0.000184055
46,7258.79,0.9518,0.49464,0.94816,0.88146,0.7771,0.83623,0.5636,1.12708,0.57228,1.03648,0.000155761,0.000155761,0.000155761
47,7391.25,0.9598,0.50484,0.95359,0.91165,0.74103,0.83441,0.56483,1.14476,0.57438,1.04248,0.000127467,0.000127467,0.000127467
48,7523.08,0.93565,0.49426,0.93837,0.9307,0.7364,0.83156,0.56857,1.14885,0.57373,1.04185,9.91726e-05,9.91726e-05,9.91726e-05
49,7656.77,0.92745,0.48913,0.94637,0.94676,0.72727,0.82914,0.57145,1.15031,0.57443,1.04041,7.08784e-05,7.08784e-05,7.08784e-05
50,7790.14,0.9335,0.4924,0.94841,0.94015,0.74061,0.82904,0.56926,1.14458,0.57119,1.04229,4.25842e-05,4.25842e-05,4.25842e-05
